Year,Units,Value
2015,"на 100,000 живорожденных",16.8
2016,"на 100,000 живорожденных",29.6
2017,"на 100,000 живорожденных",8.0
2018,"на 100,000 живорожденных",21.9
2019,"на 100,000 живорожденных",33.3
2020,"на 100,000 живорожденных",22.0
2021,"на 100,000 живорожденных",43.7
2022,"на 100,000 живорожденных",22.0
2023,"на 100,000 живорожденных",10.9
2024,"на 100,000 живорожденных",20.8
2025,"на 100,000 живорожденных",3.1
